Sentença;Entidade 1;Tipo Entidade 1;Relacao;Entidade 2;Tipo Entidade 2
A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado.;Câmara Municipal do Porto;LOC;presidente da;Fernando Gomes;PER
A Abraço é uma Instituição Particular de Solidariedade Social.;Abraço;LOC;é uma;Instituição Particular de Solidariedade Social;MISC
A administração, vendas e a fábrica da Marfinite ficam em Itaquaquecetuba, na Grande São Paulo, em um terreno de 230 metros quadrados, com 25 metros quadrados de área construída .;Itaquaquecetuba;LOC;ficam em;Marfinite;LOC
A administração, vendas e a fábrica da Marfinite ficam em Itaquaquecetuba, na Grande São Paulo, em um terreno de 230 metros quadrados, com 25 metros quadrados de área construída .;Itaquaquecetuba;LOC;na;Grande São Paulo;LOC
A administração, vendas e a fábrica da Marfinite ficam em Itaquaquecetuba, na Grande São Paulo, em um terreno de 230 metros quadrados, com 25 metros quadrados de área construída .;Marfinite;LOC;;Grande São Paulo;LOC
A Adyen , processadora de pagamentos pioneira na adoção das carteiras digitais no Brasil , se uniu ao Google para integrar a função débito ao Google Pay .;Brasil;LOC;;Google;ORG
A Adyen , processadora de pagamentos pioneira na adoção das carteiras digitais no Brasil , se uniu ao Google para integrar a função débito ao Google Pay .;Brasil;LOC;;Google Pay;ORG
A Adyen , processadora de pagamentos pioneira na adoção das carteiras digitais no Brasil , se uniu ao Google para integrar a função débito ao Google Pay .;Brasil;LOC;processadora de pagamentos pioneira na adoção das carteiras digitais no;Adyen;PER
A Adyen , processadora de pagamentos pioneira na adoção das carteiras digitais no Brasil , se uniu ao Google para integrar a função débito ao Google Pay .;Google;ORG;;Google Pay;ORG
A Adyen , processadora de pagamentos pioneira na adoção das carteiras digitais no Brasil , se uniu ao Google para integrar a função débito ao Google Pay .;Google;ORG;se uniu ao;Adyen;PER
A Adyen , processadora de pagamentos pioneira na adoção das carteiras digitais no Brasil , se uniu ao Google para integrar a função débito ao Google Pay .;Google Pay;ORG;para integrar a função débito ao;Adyen;PER
A AgriMart usa tecnologia de ponta para viabilizar uma comunicação acessível e simples com o produtor rural , tendo em vista a negociação/compra dos seus produtos um chatbot via Whatsapp .;AgriMart;MISC;;Whatsapp;PER
A Agrimart catalisa os processos de compra e venda de produtos agrícolas com foco em hortifrúti por meio de uma plataforma web de e-Procurement para os compradores e de um chatbot negociador Whatsapp para os produtores . ;Agrimart;LOC;;Whatsapp;PER
A Agrimart catalisa os processos de compra e venda de produtos agrícolas com foco em hortifrúti por meio de uma plataforma web de e-Procurement para os compradores e de um chatbot negociador Whatsapp para os produtores . ;Agrimart;LOC;;e-Procurement;MISC
A Agrimart catalisa os processos de compra e venda de produtos agrícolas com foco em hortifrúti por meio de uma plataforma web de e-Procurement para os compradores e de um chatbot negociador Whatsapp para os produtores . ;Whatsapp;PER;;e-Procurement;MISC
A American Express fez um acordo com a Amazon para lançar um cartão para pequenas e médias empresas .;Amazon;ORG;fez um acordo com;American Express;MISC
A Apple deve lançar seu próprio cartão de crédito em parceria com o banco Goldman Sach .;Goldman Sach;PER;em parceria com;Apple;ORG
A Apple deve lançar seu próprio cartão de crédito em parceria com o banco Goldman Sachs , aponta uma reportagem do The Wall Street Journal .;banco Goldman Sachs;ORG;;The Wall Street Journal;MISC
A Apple deve lançar seu próprio cartão de crédito em parceria com o banco Goldman Sachs , aponta uma reportagem do The Wall Street Journal .;banco Goldman Sachs;ORG;em parceria com;Apple;ORG
A Apple deve lançar seu próprio cartão de crédito em parceria com o banco Goldman Sachs , aponta uma reportagem do The Wall Street Journal .;The Wall Street Journal;MISC;aponta uma reportagem do;Apple;ORG
A Arábia Saudita era um dos três países do mundo que reconheciam, no Afeganistão, o governo Talibã.;Afeganistão;LOC;o governo;Talibã;LOC
A Arábia Saudita era um dos três países do mundo que reconheciam, no Afeganistão, o governo Talibã.;Afeganistão;LOC;no;Arábia Saudita;LOC
A Arábia Saudita era um dos três países do mundo que reconheciam, no Afeganistão, o governo Talibã.;Talibã;LOC;reconheciam;Arábia Saudita;LOC
A Associação está organizada por núcleos e delegações regionais, cada um deles reportando a um dos três membros da Comissão Executiva.;Comissão Executiva;ORG;;Associação;ORG
A ausência serviu para os técnicos da Transgás convencerem os agricultores quanto à responsabilidade da Câmara no processo e os dirigentes da Fanorte - que, antes da reunião, tinham acusado 'os responsáveis do gasoduto' de terem entrado em áreas agrícolas 'de forma abusiva', 'pisando culturas instaladas, fazendo marcações e só depois contactado os proprietários' -, saíram do encontro tendo a Câmara como 'alvo' .;Fanorte;LOC;;Transgás;ORG
A ausência serviu para os técnicos da Transgás convencerem os agricultores quanto à responsabilidade da Câmara no processo e os dirigentes da Fanorte - que, antes da reunião, tinham acusado 'os responsáveis do gasoduto' de terem entrado em áreas agrícolas 'de forma abusiva', 'pisando culturas instaladas, fazendo marcações e só depois contactado os proprietários' -, saíram do encontro tendo a Câmara como 'alvo' .;Fanorte;LOC;;Câmara;ORG
A ausência serviu para os técnicos da Transgás convencerem os agricultores quanto à responsabilidade da Câmara no processo e os dirigentes da Fanorte - que, antes da reunião, tinham acusado 'os responsáveis do gasoduto' de terem entrado em áreas agrícolas 'de forma abusiva', 'pisando culturas instaladas, fazendo marcações e só depois contactado os proprietários' -, saíram do encontro tendo a Câmara como 'alvo' .;Transgás;ORG;;Câmara;ORG
A B2W , dona da Americanas.com e do Submarino , estuda separar o braço da Ame Digital de suas operações .;Americanas.com;MISC;;Ame Digital;MISC
A B2W , dona da Americanas.com e do Submarino , estuda separar o braço da Ame Digital de suas operações .;Americanas.com;MISC;dona da;B2W;ORG
A B2W , dona da Americanas.com e do Submarino , estuda separar o braço da Ame Digital de suas operações .;Americanas.com;MISC;;Submarino;PER
A B2W , dona da Americanas.com e do Submarino , estuda separar o braço da Ame Digital de suas operações .;Ame Digital;MISC;estuda separar o braço da;B2W;ORG
A B2W , dona da Americanas.com e do Submarino , estuda separar o braço da Ame Digital de suas operações .;Ame Digital;MISC;;Submarino;PER
A B2W , dona da Americanas.com e do Submarino , estuda separar o braço da Ame Digital de suas operações .;B2W;ORG;dona da;Submarino;PER
A B3 confirmou em comunicado ao mercado , há pouco , parceria com o Bradesco para desenvolvimento de uma plataforma de registro de ativos usando blockchain , como havia antecipado a Coluna do Broadcast .;Coluna do Broadcast;ORG;;Bradesco;ORG
A B3 confirmou em comunicado ao mercado , há pouco , parceria com o Bradesco para desenvolvimento de uma plataforma de registro de ativos usando blockchain , como havia antecipado a Coluna do Broadcast .;Coluna do Broadcast;ORG;como havia antecipado;B3;ORG
A B3 confirmou em comunicado ao mercado , há pouco , parceria com o Bradesco para desenvolvimento de uma plataforma de registro de ativos usando blockchain , como havia antecipado a Coluna do Broadcast .;Bradesco;ORG;parceria com;B3;ORG
A C6 Bank acaba de fechar a compra da empresa de sistemas de pagamento NTK Solutions .;NTK Solutions;MISC;acaba de fechar a compra da;C6 Bank;ORG
A Caixa é controladora do Pan , ao lado do BTG , com 32,8 % do negócio .;BTG;ORG;;Pan;ORG
A Caixa é controladora do Pan , ao lado do BTG , com 32,8 % do negócio .;BTG;ORG;ao lado do;Caixa;ORG
A Caixa é controladora do Pan , ao lado do BTG , com 32,8 % do negócio .;Pan;ORG;é controladora do;Caixa;ORG
A Câmara de Santo Tirso tem apoiado, incondicionalmente e desde sempre, o escutismo no concelho, criando melhores condições para que os Agrupamentos de Escuteiros existentes no município façam chegar a as escolas e a os jovens locais os seus inúmeros projectos educativos', sublinhou fonte da CNE.;Câmara de Santo Tirso;LOC;;Agrupamentos de Escuteiros;MISC
A Câmara de Santo Tirso tem apoiado, incondicionalmente e desde sempre, o escutismo no concelho, criando melhores condições para que os Agrupamentos de Escuteiros existentes no município façam chegar a as escolas e a os jovens locais os seus inúmeros projectos educativos', sublinhou fonte da CNE.;Câmara de Santo Tirso;LOC;;CNE;ORG
A Câmara de Santo Tirso tem apoiado, incondicionalmente e desde sempre, o escutismo no concelho, criando melhores condições para que os Agrupamentos de Escuteiros existentes no município façam chegar a as escolas e a os jovens locais os seus inúmeros projectos educativos', sublinhou fonte da CNE.;Agrupamentos de Escuteiros;MISC;;CNE;ORG
A Chubb Seguros fez parceria com a Credicard para ofertar seguro para celular na loja de benefícios da administradora de cartão de crédito .;Credicard;ORG;fez parceria com;Chubb Seguros;ORG
Acreditamos que o uso da tecnologia de pagamentos por aproximação no metrô é uma oportunidade de digitalizar bilhões de transações de baixo valor , melhorando a experiência do passageiro e reduzindo despesas do transporte público , explica Fernando Teles , presidente da Visa do Brasil .;Fernando Teles;PER;presidente da;Visa do Brasil;ORG
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;Zimbabwe;MISC;;José Sócrates;PER
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;Zimbabwe;MISC;;Lisboa;LOC
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;Zimbabwe;MISC;;União Europeia-África;ORG
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;Zimbabwe;MISC;;União Europeia;ORG
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;Zimbabwe;MISC;presidente do;Robert Mugabe;PER
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;José Sócrates;PER;;Lisboa;LOC
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;José Sócrates;PER;primeiro-ministro português e presidente em exercício da;União Europeia-África;ORG
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;José Sócrates;PER;;União Europeia;ORG
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;José Sócrates;PER;;Robert Mugabe;PER
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;Lisboa;LOC;em;União Europeia-África;ORG
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;Lisboa;LOC;;União Europeia;ORG
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;Lisboa;LOC;;Dezembro;ORG
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;Lisboa;LOC;;Robert Mugabe;PER
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;União Europeia-África;ORG;;União Europeia;ORG
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;União Europeia-África;ORG;;Robert Mugabe;PER
A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia .;União Europeia;ORG;;Robert Mugabe;PER
A Climatempo , maior empresa privada de meteorologia do país , acaba de anunciar sua parceria com o Banco do Brasil .;Banco do Brasil;ORG;acaba de anunciar sua parceria com;Climatempo;LOC
A Companhia de Tecnologia da Informação e Comunicação do Paraná é uma sociedade de economia mista do governo do Estado do Paraná , e lançou o programa em parceria com a empresa canadense de soluções e inovação ‘Blockchain Research Institute’ .;Estado do Paraná;LOC;;Blockchain Research Institute;PER
A Companhia de Tecnologia da Informação e Comunicação do Paraná é uma sociedade de economia mista do governo do Estado do Paraná , e lançou o programa em parceria com a empresa canadense de soluções e inovação ‘Blockchain Research Institute’ .;Estado do Paraná;LOC;sociedade de economia mista do;Companhia de Tecnologia da Informação e Comunicação do Paraná;ORG
A Companhia de Tecnologia da Informação e Comunicação do Paraná é uma sociedade de economia mista do governo do Estado do Paraná , e lançou o programa em parceria com a empresa canadense de soluções e inovação ‘Blockchain Research Institute’ .;Blockchain Research Institute;PER;;Companhia de Tecnologia da Informação e Comunicação do Paraná;ORG
A conclusão é de Barry Ellman, do Centro para Estudos Urbanos e Comunitários da Universidade de Toronto, Canadá.;Barry Ellman;PER;do;Centro para Estudos Urbanos e Comunitários;LOC
A conclusão é de Barry Ellman, do Centro para Estudos Urbanos e Comunitários da Universidade de Toronto, Canadá.;Barry Ellman;PER;;Universidade de Toronto;LOC
A conclusão é de Barry Ellman, do Centro para Estudos Urbanos e Comunitários da Universidade de Toronto, Canadá.;Centro para Estudos Urbanos e Comunitários;LOC;da;Universidade de Toronto;LOC
A ConectCar fechou uma parceria com descontos e benefícios aos clientes de seguro de automóvel da SulAmérica .;SulAmérica;ORG;fechou uma parceria com;ConectCar;ORG
A constatação é da pesquisa Raio X do investidor brasileiro feita pela Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais , em parceria com o Datafolha .;Datafolha;LOC;;Raio X;PER
A constatação é da pesquisa Raio X do investidor brasileiro feita pela Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais , em parceria com o Datafolha .;Datafolha;LOC;em parceria com;Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais;MISC
A constatação é da pesquisa Raio X do investidor brasileiro feita pela Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais , em parceria com o Datafolha .;Raio X;PER;;Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais;MISC
A Creditas , fintech que realiza empréstimos com garantias como automóveis e residências , recebeu uma licença do Banco Central para operar como uma Sociedade de Crédito Direto .;Banco Central;LOC;;Sociedade de Crédito Direto;PER
A Creditas , fintech que realiza empréstimos com garantias como automóveis e residências , recebeu uma licença do Banco Central para operar como uma Sociedade de Crédito Direto .;Banco Central;LOC;recebeu uma licença do;Creditas;ORG
A Creditas , fintech que realiza empréstimos com garantias como automóveis e residências , recebeu uma licença do Banco Central para operar como uma Sociedade de Crédito Direto .;Sociedade de Crédito Direto;PER;;Creditas;ORG
A crise já tinha sido solucionada, após uma reunião na casa do procurador geral Aristides Junqueira, que juntou as principais lideranças do Congresso, membros do Supremo Tribunal Federal e FHC.;Supremo Tribunal Federal;LOC;;Congresso;LOC
A crise já tinha sido solucionada, após uma reunião na casa do procurador geral Aristides Junqueira, que juntou as principais lideranças do Congresso, membros do Supremo Tribunal Federal e FHC.;Supremo Tribunal Federal;LOC;;Aristides Junqueira;PER
A crise já tinha sido solucionada, após uma reunião na casa do procurador geral Aristides Junqueira, que juntou as principais lideranças do Congresso, membros do Supremo Tribunal Federal e FHC.;Supremo Tribunal Federal;LOC;;FHC;PER
A crise já tinha sido solucionada, após uma reunião na casa do procurador geral Aristides Junqueira, que juntou as principais lideranças do Congresso, membros do Supremo Tribunal Federal e FHC.;Congresso;LOC;que juntou as principais lideranças do;Aristides Junqueira;PER
A crise já tinha sido solucionada, após uma reunião na casa do procurador geral Aristides Junqueira, que juntou as principais lideranças do Congresso, membros do Supremo Tribunal Federal e FHC.;Congresso;LOC;;FHC;PER
A crise já tinha sido solucionada, após uma reunião na casa do procurador geral Aristides Junqueira, que juntou as principais lideranças do Congresso, membros do Supremo Tribunal Federal e FHC.;Aristides Junqueira;PER;;FHC;PER
A Decolar , maior agência de viagens online da América Latina , fez uma parceria com o banco Santander Brasil para a emissão de um cartão de crédito com serviços e benefícios para o turista .;Decolar;MISC;fez uma parceria com;banco Santander Brasil;ORG
A Decolar , maior agência de viagens online da América Latina , fez uma parceria com o banco Santander Brasil para a emissão de um cartão de crédito com serviços e benefícios para o turista .;Decolar;MISC;maior agência de viagens online da;América Latina;ORG
A Decolar , maior agência de viagens online da América Latina , fez uma parceria com o banco Santander Brasil para a emissão de um cartão de crédito com serviços e benefícios para o turista .;banco Santander Brasil;ORG;;América Latina;ORG
A demanda aumenta de forma drástica no mundo todo', afirmou o especialista em recursos hídricos José Galizia Tundisi, do Instituto Internacional de Ecologia, em São Carlos .;São Carlos;LOC;;José Galizia Tundisi;PER
A demanda aumenta de forma drástica no mundo todo', afirmou o especialista em recursos hídricos José Galizia Tundisi, do Instituto Internacional de Ecologia, em São Carlos .;São Carlos;LOC;em;Instituto Internacional de Ecologia;LOC
A demanda aumenta de forma drástica no mundo todo', afirmou o especialista em recursos hídricos José Galizia Tundisi, do Instituto Internacional de Ecologia, em São Carlos .;José Galizia Tundisi;PER;do;Instituto Internacional de Ecologia;LOC
A Diebold Nixdorf anuncia sua parceria com a Mastercard para testar dois serviços que fornecem dinheiro a quem precisa .;Mastercard;PER;anuncia sua parceria com;Diebold Nixdorf;ORG
A eletricidade vai aumentar, de acordo com a proposta da Entidade Reguladora dos Serviços Energéticos , aprovada pelo Conselho Tarifário, 2,9 $%, em média, em Portugal .;Entidade Reguladora dos Serviços Energéticos;ORG;;Portugal;LOC
A eletricidade vai aumentar, de acordo com a proposta da Entidade Reguladora dos Serviços Energéticos , aprovada pelo Conselho Tarifário, 2,9 $%, em média, em Portugal .;Entidade Reguladora dos Serviços Energéticos;ORG;;Conselho Tarifário;ORG
A eletricidade vai aumentar, de acordo com a proposta da Entidade Reguladora dos Serviços Energéticos , aprovada pelo Conselho Tarifário, 2,9 $%, em média, em Portugal .;Portugal;LOC;;Conselho Tarifário;ORG
A empresa anunciou no fim de março a criação da fintech Totvs , que tem parceria com a Rede , a credenciadora de cartões do Itaú , e já começou a oferecer meios de pagamento e antecipação de recebíveis a seus clientes do varejo .;Totvs;;que tem parceria com;Rede;
A empresa anunciou no fim de março a criação da fintech Totvs , que tem parceria com a Rede , a credenciadora de cartões do Itaú , e já começou a oferecer meios de pagamento e antecipação de recebíveis a seus clientes do varejo .;Itaú;MISC;credenciadora de cartões do;Rede;ORG
A empresa da criptomoeda WiBX firmou uma parceria com a plataforma Mercado Bitcoin para fazer o câmbio de sua moeda em nov/19 .;WiBX;ORG;firmou uma parceria com;Mercado Bitcoin;PER
A empresa de contas de pagamentos WEX fechou parceria com a bandeira de cartões Visa no Brasil , em um desdobramento da entrada em vigor no país da lei que permite que trabalhadores recebam salário em contas não bancárias .;Brasil;LOC;;WEX;MISC
A empresa de contas de pagamentos WEX fechou parceria com a bandeira de cartões Visa no Brasil , em um desdobramento da entrada em vigor no país da lei que permite que trabalhadores recebam salário em contas não bancárias .;Brasil;LOC;;Visa;MISC
A empresa de contas de pagamentos WEX fechou parceria com a bandeira de cartões Visa no Brasil , em um desdobramento da entrada em vigor no país da lei que permite que trabalhadores recebam salário em contas não bancárias .;WEX;MISC;fechou parceria com a bandeira de cartões;Visa;MISC
A empresa de maquinhas de cartão Stone anunciou que fechou uma parceria com o Grupo Globo .;Grupo Globo;ORG;anunciou que fechou uma parceria com;Stone;ORG
A empresa escolhida é a DM10 Seguros , que tem 11 anos de mercado e tem mais de 900 corretoras afiliados em todo o País .;DM10 Seguros;MISC;tem mais de 900 corretoras afiliados em todo o;País;LOC
A empresa faturou 20 milhões de reais em 2018 e recebeu neste ano aporte de 5 milhões de reais do fundo Kviv Ventures , de Raphael Klein , da família fundadora da Casas Bahia .;Kviv Ventures;ORG;;Casas Bahia;LOC
A empresa faturou 20 milhões de reais em 2018 e recebeu neste ano aporte de 5 milhões de reais do fundo Kviv Ventures , de Raphael Klein , da família fundadora da Casas Bahia .;Kviv Ventures;ORG;de;Raphael Klein;PER
A empresa faturou 20 milhões de reais em 2018 e recebeu neste ano aporte de 5 milhões de reais do fundo Kviv Ventures , de Raphael Klein , da família fundadora da Casas Bahia .;Casas Bahia;LOC;da família fundadora da;Raphael Klein;PER
A empresa vai oferecer um pacote de serviços bancários acessíveis via dispositivos móveis por meio de uma parceria com um banco local até que a startup obtenha a licença do Banco Central para atuar como banco no País;Banco Central;LOC;;País;LOC
A equipe de Peter Savolainen, do Instituto Real de Tecnologia, de Estocolmo, constatou que a diversidade genética era maior entre os cães do leste asiático.;Instituto Real de Tecnologia;LOC;de;Estocolmo;LOC
A equipe de Peter Savolainen, do Instituto Real de Tecnologia, de Estocolmo, constatou que a diversidade genética era maior entre os cães do leste asiático.;Instituto Real de Tecnologia;LOC;do;Peter Savolainen;PER
A equipe de Peter Savolainen, do Instituto Real de Tecnologia, de Estocolmo, constatou que a diversidade genética era maior entre os cães do leste asiático.;Estocolmo;LOC;;Peter Savolainen;PER
A equipe do Visa Innovation Center , em Miami , analisou os consumidores que estão fazendo compras com a ajuda das assistentes virtuais e descobriu quatro perfis básicos de consumidores que já têm algum tipo de contato com essa tecnologia .;Visa Innovation Center;ORG;em;Miami;LOC
A estimativa foi apresentada por John Schellnhuber, do Centro Tyndall em Norwich, em uma conferência sobre os efeitos da mudança climática durante a reunião da AAAS.;John Schellnhuber;PER;;AAAS;ORG
A estimativa foi apresentada por John Schellnhuber, do Centro Tyndall em Norwich, em uma conferência sobre os efeitos da mudança climática durante a reunião da AAAS.;John Schellnhuber;PER;do;Centro Tyndall;LOC
A estimativa foi apresentada por John Schellnhuber, do Centro Tyndall em Norwich, em uma conferência sobre os efeitos da mudança climática durante a reunião da AAAS.;John Schellnhuber;PER;;Norwich;LOC
A estimativa foi apresentada por John Schellnhuber, do Centro Tyndall em Norwich, em uma conferência sobre os efeitos da mudança climática durante a reunião da AAAS.;AAAS;ORG;;Centro Tyndall;LOC
A estimativa foi apresentada por John Schellnhuber, do Centro Tyndall em Norwich, em uma conferência sobre os efeitos da mudança climática durante a reunião da AAAS.;AAAS;ORG;;Norwich;LOC
A estimativa foi apresentada por John Schellnhuber, do Centro Tyndall em Norwich, em uma conferência sobre os efeitos da mudança climática durante a reunião da AAAS.;Centro Tyndall;LOC;em;Norwich;LOC
A evolução da colônia portuguesa na América, a partir da segunda metade do século XVII, será profundamente marcada pelo novo rumo que toma Portugal como potência colonial.;América;LOC;;Portugal;LOC
A expansão internacional da MinTech passa por negócios na Ásia Indonésia , Filipinas , Vietnam e Índia  e , mais recentemente , na América Latina , começando pelo Brasil .;MinTech;ORG;;América Latina;LOC
A expansão internacional da MinTech passa por negócios na Ásia Indonésia , Filipinas , Vietnam e Índia  e , mais recentemente , na América Latina , começando pelo Brasil .;MinTech;ORG;passa por negócios na;Ásia Indonésia;LOC
A expansão internacional da MinTech passa por negócios na Ásia Indonésia , Filipinas , Vietnam e Índia  e , mais recentemente , na América Latina , começando pelo Brasil .;MinTech;ORG;;Filipinas;LOC
